id,category,subcategory,text_zh,text_en,difficulty,information_value,discrimination_targets,test_phase,complexity_level,option_a_zh,option_a_en,option_b_zh,option_b_en,option_c_zh,option_c_en,option_d_zh,option_d_en,qian_coeff_a,kun_coeff_a,zhen_coeff_a,xun_coeff_a,kan_coeff_a,li_coeff_a,gen_coeff_a,dui_coeff_a,qian_coeff_b,kun_coeff_b,zhen_coeff_b,xun_coeff_b,kan_coeff_b,li_coeff_b,gen_coeff_b,dui_coeff_b,qian_coeff_c,kun_coeff_c,zhen_coeff_c,xun_coeff_c,kan_coeff_c,li_coeff_c,gen_coeff_c,dui_coeff_c,qian_coeff_d,kun_coeff_d,zhen_coeff_d,xun_coeff_d,kan_coeff_d,li_coeff_d,gen_coeff_d,dui_coeff_d
inner_011,inner_motivation,security,"你对变化的态度是？","What is your attitude towards change?",0.7,0.8,"kun,zhen",confirmation,medium,"拥抱变化，寻求突破","Embrace change and seek breakthroughs","适应变化，保持稳定","Adapt to change while maintaining stability","引导变化，创新发展","Guide change and innovate development","理解变化，寻求平衡","Understand change and seek balance",0.6,0.3,0.8,0.4,0.5,0.6,0.3,0.4,0.3,0.9,0.3,0.5,0.4,0.3,0.7,0.5,0.6,0.4,0.7,0.5,0.8,0.6,0.5,0.4,0.4,0.7,0.5,0.7,0.6,0.8,0.6,0.7
inner_012,inner_motivation,security,"在压力下，你的反应是？","Under pressure, your reaction is?",0.8,0.9,"kun,li",confirmation,complex,"迎接挑战，证明自己","Meet challenges and prove yourself","寻求支持，共同应对","Seek support and cope together","创新思考，寻找突破","Think innovatively and find breakthroughs","深入分析，理性应对","Analyze deeply and respond rationally",0.7,0.2,0.6,0.4,0.5,0.7,0.3,0.4,0.3,0.9,0.3,0.5,0.4,0.3,0.7,0.5,0.6,0.4,0.7,0.5,0.8,0.6,0.9,0.4,0.4,0.7,0.5,0.7,0.6,0.8,0.6,0.9
inner_013,inner_motivation,relationship,"在社交场合中，你更倾向于？","In social situations, you tend to?",0.7,0.8,"dui,xun",exploration,medium,"主动交流，建立联系","Actively communicate and build connections","观察他人，适应环境","Observe others and adapt to environment","分享想法，启发他人","Share ideas and inspire others","深度倾听，理解他人","Listen deeply and understand others",0.6,0.4,0.5,0.6,0.4,0.6,0.3,0.9,0.4,0.7,0.4,0.8,0.5,0.5,0.6,0.6,0.5,0.5,0.6,0.9,0.6,0.6,0.4,0.5,0.4,0.6,0.6,0.7,0.7,0.8,0.9,0.7
inner_014,inner_motivation,relationship,"你最看重友谊中的什么？","What do you value most in friendship?",0.6,0.7,"dui,li",exploration,simple,"共同成长和进步","Mutual growth and progress","相互支持和理解","Mutual support and understanding","思想碰撞和启发","Intellectual collision and inspiration","情感共鸣和陪伴","Emotional resonance and companionship",0.7,0.4,0.6,0.5,0.5,0.8,0.4,0.6,0.4,0.7,0.5,0.6,0.6,0.5,0.7,0.7,0.6,0.5,0.7,0.6,0.7,0.9,0.5,0.6,0.5,0.8,0.6,0.8,0.8,0.7,0.6,0.9
inner_015,inner_motivation,relationship,"在团队合作中，你最关注什么？","In teamwork, what do you focus on most?",0.8,0.9,"dui,kun",discrimination,medium,"团队的效率和成果","Team efficiency and results","团队的和谐和稳定","Team harmony and stability","团队的创新和活力","Team innovation and vitality","团队成员的感受和需求","Team members' feelings and needs",0.7,0.3,0.6,0.4,0.5,0.7,0.4,0.5,0.4,0.9,0.4,0.5,0.5,0.4,0.7,0.6,0.6,0.4,0.8,0.5,0.7,0.6,0.5,0.5,0.4,0.7,0.6,0.8,0.7,0.8,0.6,0.9
inner_016,inner_motivation,relationship,"当朋友需要帮助时，你会？","When friends need help, you will?",0.7,0.8,"dui,gen",discrimination,simple,"立即行动，解决问题","Take immediate action to solve problems","提供建议，分享经验","Provide advice and share experience","创新思考，寻找新方法","Think innovatively and find new methods","耐心倾听，情感支持","Listen patiently and provide emotional support",0.7,0.4,0.7,0.5,0.6,0.6,0.5,0.6,0.5,0.7,0.4,0.6,0.5,0.5,0.8,0.7,0.6,0.5,0.7,0.6,0.8,0.6,0.5,0.5,0.5,0.8,0.6,0.8,0.8,0.7,0.6,0.9
inner_017,inner_motivation,relationship,"你认为理想的人际关系是？","What do you think ideal interpersonal relationships are?",0.8,0.9,"dui,zhen",confirmation,complex,"相互激励，共同进步","Mutual encouragement and progress together","相互理解，和谐共处","Mutual understanding and harmonious coexistence","思想交流，启发创新","Intellectual exchange and inspiring innovation","情感连接，深度陪伴","Emotional connection and deep companionship",0.7,0.4,0.8,0.5,0.6,0.7,0.5,0.7,0.4,0.8,0.4,0.6,0.5,0.5,0.7,0.7,0.6,0.5,0.8,0.6,0.9,0.7,0.6,0.6,0.5,0.8,0.6,0.9,0.8,0.7,0.7,0.9
inner_018,inner_motivation,relationship,"在处理人际冲突时，你的方式是？","When dealing with interpersonal conflicts, your approach is?",0.7,0.8,"dui,kan",confirmation,medium,"直接沟通，解决分歧","Communicate directly and resolve differences","寻求妥协，维护关系","Seek compromise and maintain relationships","创新方法，化解矛盾","Innovative methods to resolve contradictions","深入理解，寻求共识","Deep understanding and seek consensus",0.6,0.4,0.6,0.5,0.7,0.6,0.4,0.8,0.4,0.7,0.4,0.6,0.5,0.5,0.7,0.7,0.6,0.5,0.7,0.6,0.8,0.9,0.5,0.5,0.5,0.7,0.6,0.8,0.9,0.7,0.6,0.9
inner_019,inner_motivation,autonomy,"你最看重的自由是什么？","What freedom do you value most?",0.8,0.9,"xun,zhen",exploration,medium,"思想的自由","Freedom of thought","行动的自由","Freedom of action","创造的自由","Freedom of creation","选择的自由","Freedom of choice",0.6,0.4,0.6,0.8,0.7,0.7,0.5,0.6,0.5,0.5,0.8,0.7,0.6,0.6,0.4,0.5,0.7,0.5,0.9,0.8,0.8,0.7,0.6,0.6,0.6,0.7,0.7,0.8,0.6,0.9,0.8,0.7
inner_020,inner_motivation,autonomy,"在工作中，你最希望拥有什么？","At work, what do you most hope to have?",0.7,0.8,"xun,li",exploration,simple,"明确的目标和方向","Clear goals and direction","灵活的工作方式","Flexible working methods","创新的工作内容","Innovative work content","和谐的工作环境","Harmonious work environment",0.6,0.5,0.6,0.7,0.6,0.8,0.6,0.5,0.5,0.6,0.5,0.9,0.5,0.6,0.5,0.6,0.7,0.5,0.8,0.7,0.9,0.8,0.6,0.6,0.5,0.7,0.6,0.8,0.7,0.8,0.7,0.8
inner_021,inner_motivation,autonomy,"你对规则和制度的态度是？","What is your attitude towards rules and systems?",0.8,0.9,"xun,kun",discrimination,medium,"严格遵守，维护秩序","Strictly follow and maintain order","灵活运用，适应情况","Apply flexibly and adapt to situations","创新改进，优化效果","Innovate and improve for better results","理解本质，寻求平衡","Understand essence and seek balance",0.5,0.8,0.5,0.6,0.6,0.6,0.7,0.4,0.6,0.6,0.6,0.9,0.6,0.6,0.5,0.6,0.7,0.6,0.8,0.7,0.8,0.7,0.6,0.6,0.6,0.7,0.7,0.8,0.7,0.8,0.8,0.7
inner_022,inner_motivation,autonomy,"在学习新知识时，你偏好？","When learning new knowledge, you prefer?",0.7,0.8,"xun,gen",discrimination,simple,"系统学习，循序渐进","Systematic learning, step by step","自主探索，灵活学习","Independent exploration, flexible learning","创新实践，边做边学","Innovative practice, learning by doing","深度思考，理解本质","Deep thinking, understanding essence",0.5,0.6,0.5,0.7,0.6,0.6,0.8,0.5,0.6,0.5,0.6,0.9,0.5,0.6,0.5,0.6,0.7,0.5,0.8,0.7,0.7,0.6,0.6,0.6,0.6,0.8,0.7,0.8,0.7,0.8,0.9,0.7
inner_023,inner_motivation,autonomy,"你理想的生活状态是？","What is your ideal life state?",0.8,0.9,"xun,qian",confirmation,complex,"充满挑战，不断突破","Full of challenges, continuous breakthroughs","自由自在，随心所欲","Free and easy, following one's heart","创新创造，实现价值","Innovation and creation, realizing value","平衡和谐，内心宁静","Balanced and harmonious, inner peace",0.8,0.4,0.6,0.6,0.6,0.7,0.5,0.5,0.6,0.5,0.6,0.9,0.5,0.6,0.4,0.5,0.7,0.5,0.8,0.7,0.8,0.7,0.6,0.6,0.5,0.7,0.6,0.8,0.7,0.8,0.7,0.7
inner_024,inner_motivation,autonomy,"面对权威时，你的态度是？","What is your attitude when facing authority?",0.7,0.8,"xun,dui",confirmation,medium,"尊重权威，服从指导","Respect authority and follow guidance","保持独立，理性判断","Maintain independence and rational judgment","挑战权威，寻求创新","Challenge authority and seek innovation","理解权威，寻求合作","Understand authority and seek cooperation",0.5,0.7,0.5,0.6,0.6,0.6,0.6,0.5,0.6,0.5,0.6,0.9,0.5,0.6,0.4,0.6,0.7,0.5,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.7,0.7,0.8,0.7,0.8,0.7,0.9
inner_025,inner_motivation,mixed,"你的核心价值观是什么？","What are your core values?",0.9,1.0,"qian,kun,zhen,xun",exploration,complex,"追求卓越，超越自我","Pursue excellence and surpass oneself","和谐稳定，内心平静","Harmony, stability, and inner peace","创新变革，引领潮流","Innovation, change, and leading trends","自由独立，真实自我","Freedom, independence, and authentic self",0.9,0.2,0.7,0.4,0.5,0.6,0.3,0.4,0.3,0.9,0.3,0.5,0.4,0.3,0.7,0.5,0.6,0.4,0.8,0.5,0.9,0.6,0.5,0.4,0.4,0.7,0.5,0.8,0.6,0.9,0.6,0.7
inner_026,inner_motivation,mixed,"什么最能体现你的人生意义？","What best reflects the meaning of your life?",0.8,0.9,"li,kan,gen,dui",exploration,complex,"成就事业，获得认可","Achieve career success and gain recognition","深度思考，理解世界","Deep thinking and understanding the world","稳定生活，内心安宁","Stable life and inner peace","情感连接，温暖他人","Emotional connection and warming others",0.7,0.4,0.6,0.5,0.6,0.9,0.5,0.6,0.5,0.6,0.5,0.6,0.9,0.6,0.8,0.5,0.4,0.7,0.4,0.5,0.5,0.6,0.8,0.4,0.5,0.8,0.6,0.8,0.7,0.8,0.6,0.9
inner_027,inner_motivation,mixed,"在人生的十字路口，你如何选择？","At life's crossroads, how do you choose?",0.8,0.9,"qian,xun,kan,dui",discrimination,complex,"选择最有挑战性的道路","Choose the most challenging path","选择最灵活自由的道路","Choose the most flexible and free path","选择最深思熟虑的道路","Choose the most thoughtful path","选择最温暖人心的道路","Choose the most heartwarming path",0.9,0.3,0.6,0.4,0.5,0.6,0.4,0.4,0.4,0.6,0.5,0.9,0.5,0.5,0.5,0.6,0.5,0.5,0.6,0.6,0.8,0.5,0.9,0.5,0.5,0.7,0.6,0.8,0.7,0.8,0.6,0.9
inner_028,inner_motivation,mixed,"你认为成功的人生需要什么？","What do you think a successful life needs?",0.7,0.8,"kun,zhen,li,gen",discrimination,medium,"坚持不懈的努力","Persistent effort","敏锐的洞察力","Sharp insight","稳定的基础支撑","Stable foundation support","深厚的智慧积累","Deep wisdom accumulation",0.6,0.7,0.8,0.5,0.6,0.6,0.5,0.5,0.5,0.6,0.6,0.6,0.5,0.9,0.6,0.6,0.4,0.8,0.4,0.5,0.5,0.6,0.6,0.4,0.5,0.7,0.6,0.8,0.8,0.7,0.6,0.8
inner_029,inner_motivation,mixed,"面对人生的不确定性，你的态度是？","What is your attitude towards life's uncertainties?",0.8,0.9,"qian,kun,li,kan",confirmation,complex,"积极应对，化危为机","Actively respond and turn crisis into opportunity","接受现实，顺其自然","Accept reality and let nature take its course","理性分析，寻找规律","Rational analysis and finding patterns","深入思考，寻求智慧","Deep thinking and seeking wisdom",0.9,0.3,0.6,0.4,0.5,0.7,0.4,0.4,0.3,0.9,0.4,0.5,0.4,0.4,0.6,0.5,0.5,0.4,0.7,0.5,0.6,0.9,0.5,0.5,0.4,0.6,0.5,0.7,0.6,0.8,0.9,0.7
inner_030,inner_motivation,mixed,"你希望别人如何记住你？","How do you want others to remember you?",0.9,1.0,"all_types",confirmation,complex,"一个成功的领导者","A successful leader","一个温暖的朋友","A warm friend","一个创新的思想家","An innovative thinker","一个智慧的导师","A wise mentor",0.9,0.3,0.6,0.4,0.5,0.6,0.4,0.5,0.4,0.7,0.4,0.6,0.5,0.5,0.6,0.9,0.6,0.4,0.7,0.5,0.8,0.6,0.5,0.5,0.5,0.7,0.6,0.8,0.7,0.8,0.6,0.8
outer_001,outer_behavior,leadership,"在团队中，你通常扮演什么角色？","What role do you usually play in a team?",0.8,0.9,"qian,zhen",exploration,medium,"主动承担领导责任","Actively take on leadership responsibilities","提供支持和帮助","Provide support and assistance","激发团队活力","Energize the team","深入分析问题","Analyze problems in depth",0.9,0.2,0.6,0.3,0.4,0.7,0.5,0.3,0.3,0.9,0.2,0.6,0.5,0.4,0.7,0.8,0.5,0.3,0.9,0.4,0.3,0.8,0.2,0.6,0.4,0.4,0.5,0.5,0.9,0.5,0.8,0.2
outer_002,outer_behavior,leadership,"面对冲突时，你的典型反应是？","What is your typical reaction when facing conflicts?",0.7,0.8,"qian,kun",exploration,simple,"直接面对，寻求解决","Face it directly and seek solutions","避免冲突，维护和谐","Avoid conflict and maintain harmony","寻找创新的解决方案","Find innovative solutions","倾听各方，寻求共识","Listen to all parties and seek consensus",0.9,0.2,0.7,0.4,0.6,0.5,0.3,0.4,0.2,0.9,0.3,0.7,0.4,0.3,0.8,0.6,0.6,0.4,0.8,0.6,0.5,0.7,0.4,0.5,0.5,0.8,0.6,0.9,0.4,0.5,0.6,0.8
outer_003,outer_behavior,leadership,"在工作中，你更喜欢如何与他人互动？","How do you prefer to interact with others at work?",0.8,0.9,"qian,li",discrimination,medium,"指导和引领他人","Guide and lead others","协作和支持他人","Collaborate and support others","启发和激励他人","Inspire and motivate others","深度交流和分享","Deep communication and sharing",0.9,0.3,0.5,0.4,0.6,0.7,0.4,0.3,0.4,0.9,0.3,0.7,0.5,0.4,0.7,0.8,0.6,0.4,0.7,0.5,0.6,0.9,0.3,0.5,0.5,0.7,0.6,0.8,0.4,0.6,0.9,0.6
outer_004,outer_behavior,leadership,"当需要做出群体决策时，你倾向于？","When group decisions need to be made, you tend to?",0.7,0.8,"qian,xun",discrimination,simple,"主导讨论和决策过程","Lead the discussion and decision-making process","确保所有人都被听到","Ensure everyone is heard","提出创新的替代方案","Propose innovative alternatives","深入分析各种选项","Analyze various options in depth",0.9,0.3,0.6,0.4,0.5,0.6,0.4,0.3,0.4,0.9,0.4,0.7,0.5,0.5,0.8,0.7,0.6,0.5,0.8,0.5,0.7,0.6,0.4,0.5,0.5,0.8,0.6,0.9,0.4,0.6,0.8,0.6
outer_005,outer_behavior,leadership,"在项目管理中，你最注重什么？","In project management, what do you focus on most?",0.8,0.9,"qian,gen",confirmation,medium,"目标达成和结果导向","Goal achievement and result orientation","团队协调和资源配置","Team coordination and resource allocation","创新方法和效率提升","Innovative methods and efficiency improvement","风险控制和稳定执行","Risk control and stable execution",0.9,0.3,0.6,0.4,0.5,0.6,0.7,0.3,0.4,0.8,0.4,0.6,0.5,0.4,0.7,0.6,0.6,0.4,0.7,0.5,0.7,0.6,0.4,0.5,0.4,0.7,0.5,0.8,0.6,0.7,0.8,0.6
outer_006,outer_behavior,leadership,"面对团队成员的不同意见时，你会？","When facing different opinions from team members, you will?",0.7,0.8,"qian,dui",confirmation,simple,"坚持自己的判断和决定","Stick to your own judgment and decisions","寻求妥协和平衡方案","Seek compromise and balanced solutions","鼓励辩论和思想碰撞","Encourage debate and intellectual collision","深入了解各方观点","Deeply understand all perspectives",0.9,0.3,0.6,0.4,0.5,0.6,0.4,0.4,0.4,0.8,0.4,0.6,0.5,0.4,0.7,0.8,0.6,0.4,0.7,0.5,0.7,0.6,0.4,0.5,0.4,0.7,0.6,0.8,0.7,0.8,0.6,0.9
outer_007,outer_behavior,cooperation,"在合作中，你最看重什么？","In cooperation, what do you value most?",0.7,0.8,"kun,dui",exploration,medium,"明确的分工和责任","Clear division of labor and responsibilities","良好的沟通和信任","Good communication and trust","共同的目标和愿景","Common goals and vision","互补的能力和资源","Complementary abilities and resources",0.6,0.4,0.5,0.5,0.5,0.6,0.4,0.8,0.4,0.8,0.4,0.6,0.6,0.5,0.7,0.9,0.5,0.4,0.7,0.5,0.6,0.6,0.5,0.5,0.4,0.7,0.6,0.8,0.6,0.7,0.7,0.8
outer_008,outer_behavior,cooperation,"当团队遇到困难时，你的反应是？","When the team encounters difficulties, your reaction is?",0.8,0.9,"kun,zhen",exploration,simple,"分析问题，寻找解决方案","Analyze problems and find solutions","鼓励团队，维持士气","Encourage the team and maintain morale","创新思考，寻找突破","Think innovatively and find breakthroughs","整合资源，协调配合","Integrate resources and coordinate cooperation",0.6,0.4,0.6,0.5,0.6,0.6,0.4,0.6,0.4,0.8,0.4,0.6,0.5,0.5,0.7,0.7,0.6,0.4,0.8,0.5,0.7,0.6,0.5,0.5,0.4,0.7,0.6,0.8,0.6,0.7,0.7,0.8
outer_009,outer_behavior,cooperation,"在跨部门协作中，你倾向于？","In cross-departmental collaboration, you tend to?",0.7,0.8,"kun,xun",discrimination,medium,"建立标准化的协作流程","Establish standardized collaboration processes","灵活适应不同部门文化","Flexibly adapt to different departmental cultures","推动创新的协作模式","Promote innovative collaboration models","深入理解各部门需求","Deeply understand the needs of each department",0.5,0.6,0.5,0.6,0.6,0.6,0.5,0.6,0.5,0.7,0.5,0.8,0.6,0.6,0.6,0.7,0.6,0.5,0.7,0.6,0.7,0.6,0.6,0.6,0.5,0.7,0.6,0.8,0.7,0.8,0.8,0.8
outer_010,outer_behavior,cooperation,"处理团队内部矛盾时，你会？","When dealing with internal team conflicts, you will?",0.8,0.9,"kun,li",discrimination,simple,"直接介入，快速解决","Intervene directly and resolve quickly","促进对话，寻求理解","Facilitate dialogue and seek understanding","创新方法，化解矛盾","Innovative methods to resolve conflicts","深入分析，找出根源","Analyze deeply and find the root cause",0.6,0.4,0.6,0.5,0.6,0.7,0.4,0.6,0.4,0.8,0.4,0.6,0.5,0.5,0.7,0.8,0.6,0.4,0.7,0.5,0.7,0.6,0.9,0.5,0.4,0.7,0.6,0.8,0.7,0.8,0.7,0.9
outer_011,outer_behavior,cooperation,"在资源分配中，你的原则是？","What is your principle in resource allocation?",0.7,0.8,"kun,gen",confirmation,medium,"按贡献和能力分配","Allocate according to contribution and ability","确保公平和平衡","Ensure fairness and balance","优化效率和创新","Optimize efficiency and innovation","考虑长远和可持续","Consider long-term and sustainability",0.6,0.5,0.6,0.5,0.6,0.6,0.6,0.5,0.4,0.8,0.4,0.6,0.5,0.5,0.7,0.6,0.6,0.4,0.7,0.5,0.7,0.6,0.5,0.5,0.4,0.7,0.6,0.8,0.7,0.8,0.8,0.7
outer_012,outer_behavior,cooperation,"评价团队成功的标准是什么？","What is the standard for evaluating team success?",0.8,0.9,"kun,kan",confirmation,complex,"目标完成度和效率","Goal completion and efficiency","团队和谐度和满意度","Team harmony and satisfaction","创新成果和突破性","Innovation results and breakthroughs","学习成长和能力提升","Learning growth and capability improvement",0.6,0.4,0.6,0.5,0.6,0.7,0.4,0.6,0.4,0.8,0.4,0.6,0.5,0.5,0.7,0.7,0.6,0.4,0.7,0.5,0.7,0.6,0.5,0.5,0.4,0.7,0.6,0.8,0.8,0.8,0.7,0.9
outer_013,outer_behavior,communication,"在表达观点时，你更倾向于？","When expressing your views, you tend to?",0.7,0.8,"li,zhen",exploration,medium,"直接明确，言简意赅","Direct and clear, concise and to the point","生动形象，富有感染力","Vivid and infectious","逻辑严密，条理清晰","Logically rigorous and well-organized","温和委婉，考虑他人感受","Gentle and tactful, considering others' feelings",0.6,0.4,0.6,0.5,0.6,0.8,0.4,0.6,0.5,0.5,0.7,0.6,0.6,0.9,0.5,0.6,0.6,0.4,0.7,0.5,0.9,0.7,0.6,0.6,0.4,0.7,0.6,0.8,0.6,0.8,0.7,0.8
outer_014,outer_behavior,communication,"面对不同观点时，你的反应是？","What is your reaction when facing different viewpoints?",0.8,0.9,"li,xun",exploration,simple,"坚持自己的立场","Stick to your own position","开放接纳，灵活调整","Be open and flexible in adjustment","深入分析，寻求真理","Analyze deeply and seek truth","理解包容，寻求共识","Understand, tolerate, and seek consensus",0.6,0.4,0.6,0.5,0.6,0.8,0.4,0.6,0.5,0.5,0.6,0.8,0.6,0.7,0.5,0.6,0.6,0.4,0.7,0.5,0.9,0.7,0.6,0.6,0.4,0.7,0.6,0.8,0.7,0.8,0.8,0.8
outer_015,outer_behavior,communication,"在说服他人时，你依赖什么？","When persuading others, what do you rely on?",0.7,0.8,"li,kun",discrimination,medium,"事实数据和逻辑推理","Facts, data, and logical reasoning","情感共鸣和人际关系","Emotional resonance and interpersonal relationships","创新观点和独特视角","Innovative viewpoints and unique perspectives","权威引用和专业知识","Authoritative citations and professional knowledge",0.6,0.4,0.6,0.5,0.6,0.9,0.4,0.5,0.4,0.8,0.4,0.6,0.5,0.5,0.7,0.7,0.6,0.4,0.7,0.5,0.8,0.6,0.5,0.5,0.4,0.7,0.6,0.8,0.7,0.8,0.8,0.8
outer_016,outer_behavior,communication,"处理信息时，你更注重什么？","When processing information, what do you focus on more?",0.8,0.9,"li,gen",discrimination,simple,"信息的准确性和可靠性","Accuracy and reliability of information","信息的实用性和相关性","Practicality and relevance of information","信息的新颖性和创新性","Novelty and innovation of information","信息的深度和完整性","Depth and completeness of information",0.6,0.4,0.6,0.5,0.6,0.9,0.5,0.5,0.5,0.6,0.5,0.7,0.6,0.7,0.6,0.6,0.6,0.4,0.7,0.5,0.8,0.6,0.5,0.5,0.4,0.7,0.6,0.8,0.8,0.8,0.9,0.7
